event_key,key,label,distance_km,elevation_gain_m,order,verified,verified_at,source
utmb-oman,old-capital,Old Capital Trail,32,1400,4,yes,2026-08-05,https://oman.utmb.world/
utmb-oman,scenic-ascent,Scenic Ascent,21.5,550,5,yes,2026-08-05,https://oman.utmb.world/
utmb-mauritius,20k,20K,,,1,no,,
utmb-mauritius,50k,50K,,,2,no,,
utmb-mauritius,100k,100K,,,3,no,,
utmb-mauritius,100m,100M,,,4,no,,
wtm-hk100,100k,100K,100,,1,yes,2026-08-05,https://ultraracecalendar.com/events/6165/hong-kong-100/
wtm-black-canyon,100k,100K,100,1591,1,yes,2026-08-05,https://www.aravaiparunning.com/blackcanyon/
wtm-black-canyon,50k,50K,50,611,2,yes,2026-08-05,https://www.aravaiparunning.com/blackcanyon/
wtm-transgrancanaria,classic,Classic,125,6764,1,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,advanced,Advanced,81,4314,2,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,marathon,Marathon,46,1784,3,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,half,Half,23,1817,4,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,open-agaldar,Open Agáldar,21,613,5,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,promo,Promo,12,869,6,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,short,Short,5,264,7,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,family,Family Trail,5,264,8,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,vk,VK El Gigante,5.5,1090,9,yes,2026-08-05,https://transgrancanaria.net/
wtm-transgrancanaria,stages,Stages,120,6886,10,yes,2026-08-05,https://transgrancanaria.net/
wtm-mt-fuji,fuji100,Mt.FUJI 100,,,1,yes,2026-08-05,https://www.mtfuji100.com/
wtm-mt-fuji,kai70k,KAI 70K,70,,2,yes,2026-08-05,https://www.mtfuji100.com/
wtm-mt-fuji,asumi40k,ASUMI 40K,40,,3,yes,2026-08-05,https://www.mtfuji100.com/
wtm-miut,miut115,MIUT 115,114.9,7200,1,yes,2026-08-05,https://itra.run/Races/RaceDetails/10959
wtm-miut,miut85,MIUT 85,85,4600,2,yes,2026-08-05,https://itra.run/Races/RaceDetails/10959
wtm-miut,miut60,MIUT 60,60,,3,yes,2026-08-05,https://itra.run/Races/RaceDetails/10959
wtm-miut,miut42,MIUT 42,42,,4,yes,2026-08-05,https://itra.run/Races/RaceDetails/10959
wtm-miut,miut16,MIUT 16,16,,5,yes,2026-08-05,https://itra.run/Races/RaceDetails/10959
wtm-south-downs,sdw100,South Downs Way 100,161,,1,yes,2026-08-05,https://www.centurionrunning.com/races/south-downs-way-100-2026
wtm-quebec-mega-trail,qmt135,QMT135,135,,1,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-quebec-mega-trail,qmt80,QMT80,80,,2,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-quebec-mega-trail,qmt50,QMT50,50,,3,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-quebec-mega-trail,qmt32,QMT32,32,,4,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-quebec-mega-trail,qmt25,QMT25,25,,5,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-quebec-mega-trail,qmt15,QMT15,15,,6,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-quebec-mega-trail,qmt6,QMT6,6,,7,yes,2026-08-05,https://ultratrailcanada.com/en/
wtm-vietnam-mountain,100m,100 Miles Ultra Trail,161,8800,1,yes,2026-08-05,https://vietnamtrailseries.com/mountain-marathon/
wtm-vietnam-mountain,100k,100km Ultra Trail,100,,2,yes,2026-08-05,https://vietnamtrailseries.com/mountain-marathon/
wtm-vietnam-mountain,70k,70km Ultra Trail,70,,3,yes,2026-08-05,https://vietnamtrailseries.com/mountain-marathon/
wtm-vietnam-mountain,50k,50km Ultra Trail,50,,4,yes,2026-08-05,https://vietnamtrailseries.com/mountain-marathon/
wtm-vietnam-mountain,21k,21km Trail Run,21,,5,yes,2026-08-05,https://vietnamtrailseries.com/mountain-marathon/
wtm-vietnam-mountain,10k,10km Trail Run,10,,6,yes,2026-08-05,https://vietnamtrailseries.com/mountain-marathon/
wtm-grampians,gpt100-miler,GPT100 Miler,162,7700,1,yes,2026-08-05,https://www.gpt100.com.au/
wtm-grampians,gpt100-stage,GPT100 Stage Race,162,7700,2,yes,2026-08-05,https://www.gpt100.com.au/
wtm-grampians,gpt100-relay,GPT100 Miler Team Relay,162,7700,3,yes,2026-08-05,https://www.gpt100.com.au/
wtm-grampians,gpt50k,GPT50k,50,,4,yes,2026-08-05,https://www.gpt100.com.au/
wtm-grampians,gpt33,GPT33,33,,5,yes,2026-08-05,https://www.gpt100.com.au/
wtm-cape-town,utct,UTCT,160.9,7516,1,yes,2026-08-05,https://www.ultratrailcapetown.com/
wtm-cape-town,ut100,UT100,100,,2,yes,2026-08-05,https://www.ultratrailcapetown.com/
wtm-cape-town,pt55,PT55,55,,3,yes,2026-08-05,https://www.ultratrailcapetown.com/
wtm-cape-town,tm35,TM35,35,,4,yes,2026-08-05,https://www.ultratrailcapetown.com/
wtm-cape-town,ex23,EX23,23,,5,yes,2026-08-05,https://www.ultratrailcapetown.com/
wtm-cape-town,ks16,KS16,16,,6,yes,2026-08-05,https://www.ultratrailcapetown.com/
other-hardrock,100m,100M,,,1,yes,,
other-leadville,100m,100M,,,1,yes,,
other-badwater,135m,135M,,,1,yes,,
other-wasatch,100m,100M,,,1,yes,,
other-angeles-crest,100m,100M,,,1,yes,,
other-vermont,100m,100M,,,1,yes,,
other-vermont,100k,100K,,,2,yes,,
other-barkley,fun-run,Fun Run,,,1,yes,,
other-barkley,full,Full,,,2,yes,,
other-cocodona,250m,250M,,,1,yes,,
other-moab-240,240m,240M,,,1,yes,,
other-bigfoot-200,200m,200M,,,1,yes,,
other-sinister-7,100m,100M,,,1,yes,,
other-sinister-7,50m,50M,,,2,yes,,
other-sinister-7,50k,50K,,,3,yes,,
other-sinister-7,half,半馬,,,4,yes,,
other-sinister-7,relay,接力,,,5,yes,,
other-canadian-death-race,118k,118K,,,1,yes,,
other-canadian-death-race,42k,42K,,,2,yes,,
other-canadian-death-race,relay,接力,,,3,yes,,
other-squamish-50,50m,50M,,,1,yes,,
other-squamish-50,50k,50K,,,2,yes,,
other-squamish-50,50-50,50/50,,,3,yes,,
other-squamish-50,23k,23K,,,4,yes,,
other-tor-des-geants,330k,330K,,,1,yes,,
other-tor-des-geants,450k,450K,,,2,yes,,
other-templiers,76k,76K,,,1,yes,,
other-transvulcania,73k,73K,,,1,yes,,
other-sierre-zinal,31k,31K,,,1,yes,,
other-zegama,42k,42K,,,1,yes,,
other-trofeo-kima,50k,50K,,,1,yes,,
other-ticino-wildlands,500k,500K,,,1,yes,,
other-ticino-wildlands,250k,250K,,,2,yes,,
other-ticino-wildlands,50k,50K,,,3,yes,,
other-translantau,100,TransLantau100,104,4500,1,yes,2026-08-05,https://translantau.utmb.world/
other-translantau,50,TransLantau50,45,2500,2,yes,2026-08-05,https://translantau.utmb.world/
other-translantau,25,TransLantau25,27,1100,3,yes,2026-08-05,https://translantau.utmb.world/
other-translantau,15,TransLantau15,15,500,4,yes,2026-08-05,https://translantau.utmb.world/
other-hk4tuc,298k,298K,,,1,yes,,
other-diagonale-des-fous,diagonale,Diagonale,,,1,yes,,
other-diagonale-des-fous,bourbon,Bourbon,,,2,yes,,
other-diagonale-des-fous,mascareignes,Mascareignes,,,3,yes,,
other-marathon-des-sables,250k,250K,,,1,yes,,
other-chongli-168,168k,崇礼 168,170.7,8292,1,yes,2026-08-05,https://www.news.cn/sports/20260714/3b0fb7fd97664f099b76f8204ce12715/c.html
other-chongli-168,100k,崇礼 100,,,2,yes,2026-08-05,https://www.news.cn/sports/20260714/3b0fb7fd97664f099b76f8204ce12715/c.html
other-chongli-168,70k,雪如意 70,,,3,yes,2026-08-05,https://www.news.cn/sports/20260714/3b0fb7fd97664f099b76f8204ce12715/c.html
other-chongli-168,50k,万龙 50,,,4,yes,2026-08-05,https://www.news.cn/sports/20260714/3b0fb7fd97664f099b76f8204ce12715/c.html
other-chongli-168,30k,云顶 30,,,5,yes,2026-08-05,https://www.news.cn/sports/20260714/3b0fb7fd97664f099b76f8204ce12715/c.html
other-ninghai,utnh,UTNH 105K,106,5190,1,yes,2026-08-05,https://www.ninghai.gov.cn/art/2024/10/17/art_1229092276_59178857.html
other-ninghai,cnh,CNH 60K,65,2840,2,yes,2026-08-05,https://www.ninghai.gov.cn/art/2024/10/17/art_1229092276_59178857.html
other-ninghai,ynh,YNH 25K,,,3,yes,2026-08-05,https://www.ninghai.gov.cn/art/2024/10/17/art_1229092276_59178857.html
other-dali-100,100k,100K,,4339,1,yes,2026-08-05,https://sports.people.com.cn/n/2015/1105/c14820-27780823.html
other-dali-100,50k,50K,,2460,2,yes,2026-08-05,https://sports.people.com.cn/n/2015/1105/c14820-27780823.html
other-wugongshan,100k,100K,98,6346,1,yes,2026-08-05,https://zuicool.com/event/4266400
other-wugongshan,50k,50K,56,3302,2,yes,2026-08-05,https://zuicool.com/event/4266400
other-wugongshan,30k,30K,33,1884,3,yes,2026-08-05,https://zuicool.com/event/4266400
other-huangshan-168,168k,168K,162,7165,1,yes,2026-08-05,https://www.runninginchina.org/event/default/2980.html
other-huangshan-168,100k,100K,103,4000,2,yes,2026-08-05,https://www.runninginchina.org/event/default/2980.html
other-huangshan-168,56k,56K,56,2258,3,yes,2026-08-05,https://www.runninginchina.org/event/default/2980.html
other-huangshan-168,35k,35K,35,1042,4,yes,2026-08-05,https://www.runninginchina.org/event/default/2980.html
utmb-mut,miler,MUT Miler,168,8014,1,yes,2026-08-05,https://mut.utmb.world/
utmb-mut,100,MUT 100,100,4717,2,yes,2026-08-05,https://mut.utmb.world/
utmb-mut,60,MUT 60,58,3005,3,yes,2026-08-05,https://mut.utmb.world/
utmb-mut,marathon,MUT Marathon,43,2312,4,yes,2026-08-05,https://mut.utmb.world/
utmb-mut,challenge,MUT Challenge,25,1043,5,yes,2026-08-05,https://mut.utmb.world/
utmb-mut,lite,MUT Lite,11.9,312,6,yes,2026-08-05,https://mut.utmb.world/
other-fat-dog,120m,120 Mile,200,7925,1,yes,2026-08-05,https://www.fatdog120.ca/
other-fat-dog,100k,100 km,100,,2,yes,2026-08-05,https://www.fatdog120.ca/
other-fat-dog,40m,40 Mile,64,,3,yes,2026-08-05,https://www.fatdog120.ca/
other-knee-knacker,50k,30 Mile,48.6,2600,1,yes,2026-08-05,https://kneeknacker.com/
other-frosty-mountain,50k,50K,50,2400,1,yes,2026-08-05,https://trailwhisperer.ca/frosty/
other-frosty-mountain,27k,27K,27,1300,2,yes,2026-08-05,https://trailwhisperer.ca/frosty/
other-frosty-mountain,13k,13K,13,185,3,yes,2026-08-05,https://trailwhisperer.ca/frosty/
other-meet-your-maker,50m,50 Mile,84,,1,yes,2026-08-05,https://trailrunner.com/event/meet-your-maker-50/
other-black-spur,108k,108K,108,4460,1,yes,2026-08-05,https://www.sinistersports.ca/blackspur/
other-black-spur,54k,54K,54,2230,2,yes,2026-08-05,https://www.sinistersports.ca/blackspur/
other-black-spur,21k,21K,21,,3,yes,2026-08-05,https://www.sinistersports.ca/blackspur/
